수집월,제목,작성일,언론사,링크,본문
2026-05,"롯데멤버스, 서울대와 업무협약…‘미래 소비 지표’ 공동 개발",2026-05-21 09:32:10,서울경제,https://www.sedaily.com/article/20046678?ref=naver,"인구 구조 변화에 선제 대응 차원 (왼쪽부터)박종남 롯데멤버스 대표와 조영태 서울대학교 인구정책연구센터장, 원성호 보건환경연구소장이 전날 업무협약식에서 기념사진을 촬영하고 있다.사진제공=롯데멤버스롯데멤버스는 서울대학교와 미래 소비 예측 모델 개발을 위한 업무협약을 체결했다고 21일 밝혔다.이번 협약은 저출산 및 고령화로 인한 급격한 인구 구조 변화에 선제적으로 대응하기 위해 추진됐다. 협약에 따라 4500만 명의 엘포인트 회원을 보유한 롯데멤버스와 서울대 인구정책연구센터는 인구 변화에 따른 ‘미래 소비 예측 지표’를 공동 개발한다.양 기관은 △롯데멤버스의 회원 구매 데이터 및 소비 행태 분석 결과 △서울대 인구정책연구센터의 인구 동태 예측 데이터 △도시 계획, 교통망, 유동인구 등 공간 인프라 기반 외부 데이터를 결합한다. 이를 바탕으로 미래 가치 지수 알고리즘을 개발하고 지속적으로 고도화할 계획이다.개발된 예측 모델은 미래 소비 규모 및 패턴을 시뮬레이션하는 표준 지표로 활용될 예정이다. 이를 통해 롯데멤버스는 데이터 경쟁력을 높이고 유통·금융·건설·지자체 등 다양한 산업에 최적화된 미래 지향적, 초지역화 인사이트를 제공할 방침이다.박종남 롯데멤버스 대표는 “인구 구조 변화라는 거대한 흐름 속에서 소비의 미래를 예측하고 대응하는 것은 기업과 사회 모두의 중요한 과제”라며 “산업 전반의 의사결정 표준이 될 예측 모델을 만들어 데이터 기반의 새로운 이정표를 제시할 것”이라고 전했다."
2026-05,"인간 한계 뛰어넘은 ‘170시간 노동’… 산업계, 피지컬AI 영토 선점 사...",2026-05-21 09:21:13,문화일보,https://www.munhwa.com/article/11590387?ref=naver,"■ 프롤로그 - ‘피지컬 AI 혁명’ 현장을 가다美 ‘피겨AI’ 택배분류 모습 공개하루 2만8000개 이상 물품처리고위험 환경서 인간 노동력 대체저출산·고령화發 인력부족 해소시장규모 9조→158조 팽창 전망기업 생존의 필수 전략 자리매김 최근 전 세계 산업계의 이목이 휴머노이드 로봇의 진일보된 활동에 주목하고 있다. 먼저 미국 휴머노이드 로봇 기업 ‘피겨 AI’가 물류 창고에서 일하는 로봇을 실시간으로 공개했다. 사람의 개입 없이 170시간 넘게 스스로 판단하며 택배 물류 작업을 수행하는 모습이다. 피겨 AI 유튜브에서는 지금 이 시간에도 평균 3초마다 소포 1개를 처리하며 하루 2만8000개 이상의 물품을 분류하는 모습을 볼 수 있다. 특히 일정 시간이 지나면 충전 중인 다른 로봇과 자동으로 교대하며 3교대로 24시간 일한다.현대차그룹의 로보틱스 계열사인 보스턴다이내믹스는 휴머노이드 아틀라스가 냉장고를 통째로 들어 올리는 영상을 지난 18일 선보였다. 무릎을 반쯤 굽힌 뒤 양팔을 사용해 23㎏에 달하는 소형 냉장고를 옮기는 모습이다. 냉장고를 든 상태에서도 균형을 유지하며 최대 45㎏ 무게를 옮기는 데 성공했다고 한다. 보스턴다이내믹스는 오는 2028년 연 3만 대의 아틀라스 생산 체계를 갖추고 우선 2만5000대 이상을 현대차그룹 생산 현장에 도입한다는 계획이다.이 장면은 디지털 세계에 머물던 인공지능(AI)이 물리적 실체를 입고 현장에 뛰어드는 ‘피지컬 AI’ 시대가 본격적으로 개막했음을 알리는 신호탄이다.피지컬 AI로의 산업 전환은 더 이상 미룰 수 없는 거시적 흐름이다. 시장조사기관 코히어런트 마켓 인사이트에 따르면 피지컬 AI 글로벌 시장규모는 2026년 64억 달러(약 9조6499억 원)에서 2033년 1049억5000만 달러(158조2436억 원)까지 성장할 것으로 예상했다. 피지컬 AI는 산업 현장의 생산 연속성을 보장하는 핵심 인프라로 꼽힌다. 노사 분쟁이나 인력 부족 상황에서도 흔들림 없는 최소한의 생산과 운영을 유지하게 해주며, 특히 고위험 환경에서 인간 노동을 안전하게 대체할 수 있다는 점에서 그 중요성이 급부상하고 있다. 저출산·고령화로 인한 만성적 구인난과 숙련공 은퇴에 직면한 국내 주요 기업들에 피지컬 AI는 단순한 혁신 기술을 넘어 생존을 위한 필수 전략으로 자리 잡았다. 국내 산업계를 이끄는 주요 기업들도 일찌감치 현장 혁신을 주도하며 피지컬 AI 생태계 선점에 사활을 걸고 있다.삼성전자는 반도체·스마트폰을 이을 미래 사업으로 피지컬 AI를 점찍고 휴머노이드 상용화와 이를 통한 제조 생산성 향상에 박차를 가하고 있다. 2024년 말 신설한 미래로봇추진단은 계열사인 레인보우로보틱스와의 시너지를 통해 기술 개발의 중추적 역할을 수행 중이다. 최근 로봇의 정밀 조작 능력을 강화하기 위해 전담 조직인 ‘핸드랩(Hand Lab)’을 신설했으며, 제조형 로봇 선행 개발 후 홈·유통 분야로 발전시킨다는 구체적 로드맵을 제시했다. 기술 고도화를 위해 외부 협력을 병행하는 투트랙 전략을 추진하고, 투자·인수도 적극 검토할 방침이다.SK그룹은 SK텔레콤을 필두로 제조 현장의 AI 적용 한계를 극복하기 위한 기술 고도화에 집중하고 있다. 가상 환경에서 생산 공정을 미리 구현·검증하고 로봇에 사전 학습시키는 ‘디지털 트윈’과 로봇 트레이닝 기술을 결합, 변수가 복잡한 제조 혁신의 속도를 높인다는 전략이다. 엔비디아 ‘옴니버스(Omniverse)’를 기반으로 한 이 플랫폼을 통해 신규 설비 도입 전 운영 시나리오를 사전에 검증하며, 향후 반도체와 배터리 등 다양한 산업 분야로 적용을 확대할 계획이다.모빌리티 기업에서 로보틱스 기업으로 변신 중인 현대자동차그룹은 최근 1년 11개월의 리노베이션을 마친 서울 양재 사옥을 거대한 ‘피지컬 AI 실험실’로 탈바꿈시켰다. 공용 공간에 관수 로봇 ‘달이 가드너’, 배송 로봇 ‘달이 딜리버리’, 의전·보안용 4족 보행 로봇 ‘스팟’ 등 3종을 투입해 사람과 로봇이 자연스럽게 공존하며 업무를 돕는 인간 중심의 피지컬 AI 환경을 구축하고 있다.LG 역시 장기간 축적해온 고품질 산업 데이터와 LG AI 연구원의 파운데이션 모델을 무기로 피지컬 AI 핵심 경쟁력을 강화하고 있다. 로보티즈 지분 투자와 로보스타 경영권 인수를 비롯해 최근 미국 베어로보틱스 경영권 확보와 중국 휴머노이드 제조사 애지봇 전략적 투자 등 글로벌 피지컬 AI 시장에 전방위적으로 참여하고 있다.포스코그룹은 AI를 초격차 경쟁력 확보를 위한 ‘핵심 인프라’로 재정의하고, ‘목표 지향적 AI 전환(Mission-oriented AX)’ 전략을 통해 그룹 차원의 대전환을 본격화했다. 철강 부문에서는 제선·제강 등 핵심 공정을 지능화하고 고위험 작업의 로봇 자동화를 추진하며 AI와 로봇, 작업자가 유기적으로 협업하는 자율제조 현장을 속도감 있게 구현해 내고 있다.눈에 보이지 않던 알고리즘이 철강을 주조하고 반도체를 나르며, 택배를 분류하는 시대. K재계가 써 내려가는 피지컬 AI의 역동적인 현장 혁신 속으로 문화일보 독자 여러분을 안내한다.／제작후원／삼성전자, 현대자동차그룹, SK, 포스코, 롯데, 한화, 이마트, KT, CJ, 대한항공, 카카오, 네이버"
2026-05,"이상욱 서울시의원, 부산진고 학생들과 정치 양극화·효능감 감소 해법...",2026-05-21 09:18:14,서울신문,https://www.seoul.co.kr/news/publicnews/local_govern/smc_movement/2026/05/21/20260521500025?wlog_tag3=naver,"부산진고 2학년 학생 3명, 서울시의회 방문해 40여 분간 인터뷰 진행학생들, 정치 양극화 해법으로 ‘미디어 리터러시 과목 신설’ 정책 제안비난은 감정적, 비판은 이성적...정치인의 자질은 합의와 조율에 있어 이상욱 서울시의원서울시의회 도시계획균형위원회 이상욱 의원(국민의힘, 비례)은 지난 20일 상임위원회 간담회장에서 부산진고등학교 2학년 학생 3명과 심층 면담을 진행했다.이번 면담은 서울로 수학여행을 온 부산진고 김서현·김지후·김한결 학생의 제안으로 마련됐다. 이 의원과 학생들은 약 40분간 ‘정치적 양극화와 청소년의 정치적 효능감 감소’를 주제로 심도 있는 인터뷰를 나눴다.면담 시작과 함께 학생들은 “다양한 의견이 존재하는 민주주의의 본질과 극단적 양극화의 경계가 무엇인지”에 대한 날카로운 질문을 던졌다.이 의원은 “정치의 기본은 결국 ‘합의’에 있다”라고 단언하며 “상대방의 주장을 이해하고 조율하는 과정이 정치의 핵심이며, 실제로 서울시의회 내 수많은 조례가 거대 양당 간의 치열한 견해 차이를 딛고 상호 조율과 합의를 통해 통과된다”고 실제 의정 사례를 들어 설명했다.특히 이날 토론에서 미디어와 SNS가 양극화에 미치는 영향에 대해 깊이 있는 논의가 오갔다. 이 의원과 학생들은 언론사마다 다른 정치 성향과 ‘프레이밍(Framing) 보도’가 대중의 확증편향을 심화시킨다는 점에 깊이 공감했다.이에 부산진고 학생들이 직접 ‘미디어 리터러시(Media Literacy, 미디어 수용 역량) 정규 과목 신설’을 대안으로 제안하는 등 학생들이 뉴스 프레임에 갇히지 않기 위해 청소년기부터 올바른 미디어 해독 능력이 필요하다고 주장했다.이 의원은 학생들이 스스로 도출해 낸 대안에 깊은 공감을 표하며 “교육부나 교육감에게 직접 정책 제안 활동을 이어갈 수 있도록 시의회 차원에서 적극 격려하겠다”라고 화답했다.또한 학생들이 정치권의 거친 언어와 효능감 저하의 연결고리에 대해 질문하자, 그는 “비난은 감정적이고, 비판은 이성적”이라며 감정적 비난 대신 이성적 비판이 정치의 중심이 되어야 한다고 강조했다.끝으로 이 의원은 청소년의 정치적 효능감을 높이기 위한 의회 차원의 구체적인 정책 노력도 소개했다. 특히 사회적 양극화 해소의 일환으로 추진된 ‘서울급식관리지원센터 영양사 처우 개선’ 및 ‘서울시 도시계획 조례 내 저출산·고령화 대응’ 등의 입법·정책 사례를 설명하며 청소년들의 이해를 도왔다.그는 “정치적 효능감은 멀리 있는 것이 아니라, 토론회나 공청회, 청소년 정책 제안 등 제도를 통해 시민의 의견이 조례로 반영되는 과정을 체감할 때 생기는 것”이라며 미래 세대의 적극적인 참여를 당부했다."
2026-05,"[희망기획-저출산·고령화시대, 지역答하다(45) 경북 영주시편] 지방소...",20분 전,일요서울,https://www.ilyoseoul.co.kr/news/articleView.html?idxno=517108,[외부 언론사 기사 - 본문 수집 제외]
2026-05,"[희망기획;5060노후안정프로젝트시즌2:은퇴, 새로운 시작(45)] 노후 학대",20분 전,일요서울,https://www.ilyoseoul.co.kr/news/articleView.html?idxno=517106,[외부 언론사 기사 - 본문 수집 제외]
2026-05,[인사] 보건복지부,2026-05-21 09:13:19,아시아경제,https://view.asiae.co.kr/article/2026052109131857246,[인사] 보건복지부 ◇ 국장급 파견 ▲ 저출산고령사회위원회 사무처 배경택 ◇ 국장급 전보 ▲ 복지정책관 김문식
2026-05,[인사] 보건복지부 국장급,36분 전,메디칼업저버,https://www.monews.co.kr/news/articleView.html?idxno=411339,[외부 언론사 기사 - 본문 수집 제외]
2026-05,인사-보건복지부 국장급 파견·전보,36분 전,데일리팜,https://www.dailypharm.com/user/news/today-focus/12093?REFERER=NP,[외부 언론사 기사 - 본문 수집 제외]
2026-05,"""아이 키우기 좋은 사회로""…돌봄 가치 나눈 시민 축제",2026-05-21 08:17:19,TV조선,https://news.tvchosun.com/site/data/html_dir/2026/05/21/2026052190035.html,"[앵커]""한 아이를 키우려면 온 마을이 필요하다""는 말이 있죠. 아이 돌봄을 가정만의 몫으로 두지 않고, 사회가 함께 해야한다는 '아동돌봄권' 논의가 확산하고 있습니다. 서울 도심에서 돌봄의 의미를 체험하는 행사가 열렸습니다.윤우리 기자입니다. [리포트]각자 만든 집을 꾸미기 바쁜 아이들.고사리 손으로 그려낸 그림들이 집 안팎을 채우고, 웃음 소리는 도심 광장을 메웁니다.아이들이 안심하고 자랄 수 있는 환경의 필요성을 알리고, 아이 돌봄을 사회가 함께해야 한다는 취지로 열린 축제입니다.안우성 / 서울 동작""이렇게 아이들이 잘 쉴 수 있고, 놀 수 있는 곳이니까. 부모님도 쉴 수 있고, 아이도 쉴 수 있으니까 여기가 너무 좋은 장소인거 같습니다.""축제는 돌봄의 가치를 체험할 수 있는 참여 프로그램으로 운영돼 아이들뿐 아니라 부모들의 호응도 이끌어냈습니다.이언희 / 서울 동작""저출산 시대에 아이들을 위한 페스티벌이나 행사가 좀 더 다양하게 열리면, 더 도움이 될 거 같습니다.""저출산 해결을 위해 돌봄 공백을 줄여야 한다는 목소리도 사회전반에서 커지고 있습니다.성평등가족부는 아이돌봄 서비스 확대를, 고용노동부는 육아휴직과 유연근무 강화를, 교육부는 늘봄학교 확대를 추진하고 있습니다.이청산 / 행사 관계자""가족과 사회의 안전한 보살핌 속에서 아동들이 건강하고 행복하게 자라날 수 있는 세상을 만들기 위해서 기획되었습니다.""롯데그룹은 아동 돌봄과 보육 환경 개선을 위해 아동 지원 단체에 5억원을 기부했습니다.TV조선 윤우리입니다."
2026-05,"롯데멤버스, 서울대와 ‘소비예측 모델’ 개발한다",2026-05-21 07:21:10,헤럴드경제,https://biz.heraldcorp.com/article/10742374?ref=naver,"20일 협약식…인구구조 변화에 선제 대응 박종남 롯데멤버스 대표(왼쪽부터)와 조영태 서울대학교 인구정책연구센터장, 원성호 보건환경연구소장이 기념사진을 촬영하고 있다. [롯데멤버스 제공][헤럴드경제=박연수 기자] 롯데멤버스는 서울대학교와 미래 소비 예측 모델 개발을 위한 MOU(업무협약)을 체결했다고 21일 밝혔다.롯데멤버스와 서울대 인구정책연구센터는 이번 협약을 통해 인구 변화에 따른 소비 전이를 추적해 ‘미래 소비 예측 지표’를 공동 개발한다. 저출산 및 고령화로 인한 급격한 인구 구조 변화에 선제적으로 대응하는 차원이다.롯데멤버스의 회원 구매 데이터·소비 행태에 서울대 인구정책연구센터의 인구 동태 예측 데이터, 도시 계획·교통망·유동인구 등 공간 인프라 기반의 외부 데이터를 결합하는 방식이다. 개발한 모델은 특정 상권과 미래 소비 규모 및 패턴을 설계하는 표준 지표로 활용할 예정이다.박종남 롯데멤버스 대표는 “산업 전반의 의사결정 표준이 될 예측 모델을 만들어 데이터 기반의 새로운 이정표를 제시할 것”이라고 전했다."
